:GET :/ :200 :[object Object]
:GET :/ :200 :[object Object]
:GET :/abc/def/hjj :200 :[object Object]
:GET :/abc/def/hjj :200 :undefined
:GET :/ :200 :undefined
GET: /: 200: undefined ms
POST: /auth/login: 200: 77 ms:
POST: /auth/login: 200: 82 ms:
POST: /auth/login: 200: 83 ms:
POST: /auth/login: 200: 78 ms:
POST: /auth/login: 200: 84 ms:
POST: /auth/login: 200: 73 ms:
POST: /auth/login: 200: 81 ms:
POST: /auth/login: 200: 177 ms:
POST: /auth/login: 200: 170 ms:
POST: /auth/login: 200: 41 ms:
POST: /auth/login: 200: 89 ms:
POST: /auth/login: 200: 171 ms:
POST: /auth/login: 200: 189 ms:
POST: /auth/login: 200: 177 ms:
POST: /auth/register: 200: 174 ms:
POST: /auth/register: 200: 71 ms:
POST: /auth/register: 200: 71 ms:
POST: /auth/register: 200: 64 ms:
POST: /auth/login: 200: 79 ms:
POST: /auth/login: 200: 90 ms:
POST: /notes: 200: 43 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 28 ms:
POST: /auth/login: 200: 89 ms:
POST: /auth/login: 200: 158 ms:
POST: /auth/login: 200: 80 ms:
POST: /notes: 200: 16 ms:
GET: /notes: 200: 96 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 31 ms:
POST: /notes: 200: 41 ms:
GET: /notes: 200: 4 ms:
GET: /notes: 200: 89 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 40 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 5 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 35 ms:
POST: /notes: 200: 32 ms:
POST: /notes: 200: 36 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 10 ms:
GET: /notes: 200: 48 ms:
GET: /notes: 200: 29 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 36 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 37 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 44 ms:
GET: /notes: 200: 28 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 31 ms:
POST: /notes: 200: 26 ms:
GET: /notes: 200: 34 ms:
POST: /notes: 200: 10 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 38 ms:
GET: /notes: 200: 58 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 61 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 34 ms:
POST: /notes: 200: 14 ms:
GET: /notes: 200: 2 ms:
GET: /notes: 200: 2 ms:
GET: /notes: 200: 41 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 36 ms:
GET: /notes: 200: 36 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 29 ms:
GET: /notes: 200: 29 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 38 ms:
GET: /notes: 200: 29 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 41 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 52 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 36 ms:
GET: /notes: 200: 28 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 28 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 6 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 148 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 38 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 41 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 5 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 8 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 42 ms:
GET: /notes: 200: 28 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 7 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 40 ms:
POST: /auth/login: 200: 206 ms:
GET: /notes: 200: 17 ms:
POST: /auth/login: 200: 154 ms:
GET: /notes: 200: 16 ms:
GET: /notes: 200: 41 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 41 ms:
DELETE: /notes/7%7D: 200: 2 ms:
GET: /notes: 200: 4 ms:
GET: /notes: 200: 2 ms:
GET: /notes: 200: 11 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 45 ms:
DELETE: /notes/7: 200: 2 ms:
GET: /notes: 200: 9 ms:
GET: /notes: 200: 2 ms:
GET: /notes: 200: 7 ms:
DELETE: /notes/7: 200: 5 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 3 ms:
DELETE: /notes/7: 200: 7 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 3 ms:
DELETE: /notes/3: 200: 11 ms:
DELETE: /notes/7: 200: 15 ms:
DELETE: /notes/7: 200: 9 ms:
DELETE: /notes/7: 200: 9 ms:
DELETE: /notes/7: 200: 7 ms:
DELETE: /notes/7: 200: 16 ms:
DELETE: /notes/7: 200: 15 ms:
DELETE: /notes/7: 200: 14 ms:
DELETE: /notes/7: 200: 14 ms:
DELETE: /notes/7: 200: 12 ms:
GET: /notes: 200: 35 ms:
POST: /auth/login: 200: 89 ms:
GET: /notes: 200: 15 ms:
POST: /auth/login: 200: 98 ms:
POST: /auth/login: 200: 37 ms:
GET: /notes: 200: 30 ms:
POST: /notes: 200: 21 ms:
GET: /notes: 200: 4 ms:
GET: /notes: 200: 2 ms:
GET: /notes: 200: 38 ms:
GET: /notes: 200: 38 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 36 ms:
GET: /notes: 200: 55 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 43 ms:
GET: /notes: 200: 33 ms:
DELETE: /notes/7: 200: 9 ms:
DELETE: /notes/7: 200: 17 ms:
DELETE: /notes/7: 200: 11 ms:
DELETE: /notes/7: 200: 50 ms:
DELETE: /notes/7: 200: 42 ms:
GET: /notes: 200: 33 ms:
DELETE: /notes/: 200: 2 ms:
GET: /notes: 200: 105 ms:
GET: /notes: 200: 31 ms:
DELETE: /notes/4: 200: 60 ms:
GET: /notes: 200: 6 ms:
GET: /notes: 200: 2 ms:
GET: /notes: 200: 35 ms:
POST: /notes: 200: 26 ms:
GET: /notes: 200: 4 ms:
GET: /notes: 200: 2 ms:
DELETE: /notes/: 200: 2 ms:
POST: /notes: 200: 12 ms:
GET: /notes: 200: 3 ms:
GET: /notes: 200: 3 ms:
DELETE: /notes/10: 200: 9 ms:
GET: /notes: 200: 4 ms:
GET: /notes: 200: 3 ms:
DELETE: /notes/9: 200: 8 ms:
GET: /notes: 200: 5 ms:
GET: /notes: 200: 2 ms:
POST: /notes: 200: 7 ms:
GET: /notes: 200: 2 ms:
GET: /notes: 200: 3 ms:
DELETE: /notes/: 200: 1 ms:
DELETE: /notes/: 200: 0 ms:
DELETE: /notes/: 200: 3 ms:
GET: /notes: 200: 36 ms:
GET: /notes: 200: 129 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 12 ms:
GET: /notes: 200: 7 ms:
GET: /notes: 200: 115 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 33 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 40 ms:
GET: /notes: 200: 35 ms:
GET: /notes: 200: 43 ms:
GET: /notes: 200: 32 ms:
GET: /notes: 200: 34 ms:
POST: /auth/login: 200: 94 ms:
POST: /auth/login: 200: 171 ms:
GET: /notes: 200: 25 ms:
POST: /auth/login: 200: 86 ms:
GET: /notes: 200: 14 ms:
POST: /auth/login: 200: 88 ms:
GET: /notes: 200: 16 ms:
POST: /auth/login: 200: 64 ms:
POST: /auth/login: 200: 36 ms:
GET: /notes: 200: 13 ms:
POST: /auth/login: 200: 84 ms:
GET: /notes: 200: 12 ms:
POST: /auth/login: 200: 82 ms:
GET: /notes: 200: 14 ms:
POST: /auth/login: 200: 83 ms:
GET: /notes: 200: 10 ms:
GET: /notes: 200: 30 ms:
GET: /notes: 200: 29 ms:
GET: /notes: 200: 8 ms:
GET: /notes: 200: 34 ms:
GET: /notes: 200: 31 ms:
GET: /notes: 200: 30 ms:
POST: /auth/login: 200: 83 ms:
GET: /notes: 200: 14 ms:
POST: /auth/login: 200: 81 ms:
POST: /auth/login: 200: 89 ms:
GET: /notes: 200: 15 ms:
